Product Name,Prodcut URL,Product Price,Rating,Rating Count
Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODY1NTY2MTYwNTM2MjEwOjE2NzUyMjkwMDA6c3BfbXRmOjIwMDg0MzI0MDM0NDk4OjowOjo&url=%2FRed-Lemon-Backpack-Multifunctional-Charcoal%2Fdp%2FB0BGSV19KZ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675229000%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,899",4.4 out of 5 stars,422
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1ODY1NTY2MTYwNTM2MjEwOjE2NzUyMjkwMDA6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675229000%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹599,3.7 out of 5 stars,33
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-13,₹889,4.3 out of 5 stars,"5,307"
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.com/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-14,₹499,4.0 out of 5 stars,"5,544"
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.com/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-15,₹249,3.7 out of 5 stars,"5,918"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-16,₹849,3.9 out of 5 stars,"2,122"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-17,₹689,3.9 out of 5 stars,"2,677"
ADISA Laptop Backpack 31 Ltrs,https://www.amazon.com/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-18,₹499,4.0 out of 5 stars,"8,988"
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-19,₹498,4.3 out of 5 stars,"12,099"
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675229000&sprefix=ba%2Caps%2C283&sr=8-20,₹349,4.0 out of 5 stars,"4,394"
